trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,weekday,customer_waiting_time,driver_waiting_time
2458421,0 days 00:18:25.866418322,4.847701512474882,19.80866810851358,0.49047070457012854,,2019,1,0,0 days 00:02:47.607561379,0 days 00:02:16.508691557
2536410,0 days 00:18:30.370029293,4.543670900997865,19.57103639395839,0.5020809963688835,,2019,1,1,0 days 00:02:49.664401075,0 days 00:02:18.490923328
2719253,0 days 00:19:01.336906863,4.5504677792026,20.072473171860086,0.4944718567930238,,2019,1,2,0 days 00:02:49.896044701,0 days 00:02:18.797753633
2792197,0 days 00:20:05.332022418,4.7491227947025205,21.12645265359143,0.5296976466918343,,2019,1,3,0 days 00:02:49.474018917,0 days 00:02:19.472180217
3120463,0 days 00:19:36.225192864,4.597347079584024,19.9929482772268,0.49142673058453173,,2019,1,4,0 days 00:02:50.124199611,0 days 00:02:19.313982394
3445417,0 days 00:18:11.802142091,4.525939693221457,18.610213707078127,0.45779424667609164,,2019,1,5,0 days 00:02:36.115847278,0 days 00:02:19.077931806
2978043,0 days 00:17:22.713047125,4.877522114354964,18.811132545769134,0.45378199374555717,,2019,1,6,0 days 00:02:51.352240666,0 days 00:02:17.397727318
2565752,0 days 00:18:32.015441476,4.87749302348785,19.04451402551766,0.5021322364749203,,2019,2,0,0 days 00:02:53.136333522,0 days 00:02:11.483728942
2717456,0 days 00:19:14.395390762,4.617048290754291,18.850336866539873,0.49884096375433523,,2019,2,1,0 days 00:02:52.447969950,0 days 00:02:10.245303332
2852353,0 days 00:19:20.671991159,4.63480241400696,19.346544042760485,0.5124761135806123,,2019,2,2,0 days 00:02:46.201615265,0 days 00:02:11.386243542
3076355,0 days 00:20:03.813630091,4.666370789457,20.432650838411046,0.5372755940065432,,2019,2,3,0 days 00:02:56.664818786,0 days 00:02:12.625603704
4187477,0 days 00:19:50.343093466,4.5888272843050855,19.9090667578592,0.4973588917622712,,2019,2,4,0 days 00:02:59.748279540,0 days 00:02:12.926138741
4541792,0 days 00:18:33.875191334,4.618074205071479,18.83159498057152,0.4655704994856656,,2019,2,5,0 days 00:02:54.113178607,0 days 00:02:12.577562213
3923390,0 days 00:17:44.065218599,4.925529812228714,18.99726405990737,0.46009928403752876,,2019,2,6,0 days 00:03:03.008724819,0 days 00:02:13.223564953
3259949,0 days 00:19:01.667743575,4.761620086694608,20.008458638463367,0.5174146589409834,,2019,3,0,0 days 00:02:56.966358470,0 days 00:02:02.006436990
3262377,0 days 00:19:15.138264216,4.6626991944830465,20.162794667814286,0.5312762013709634,,2019,3,1,0 days 00:02:41.664128680,0 days 00:02:03.038435763
2652633,0 days 00:19:47.758745744,4.725038476864305,20.696086477096514,0.5476028798555999,,2019,3,2,0 days 00:02:36.317139209,0 days 00:02:04.383824659
2862470,0 days 00:20:24.415795100,4.762660831379895,21.528808605854376,0.5650541595195757,,2019,3,3,0 days 00:02:40.875066141,0 days 00:02:05.289004487
3281089,0 days 00:19:18.370453834,4.4900860994627045,20.43313180776258,0.5199002221518527,,2019,3,4,0 days 00:02:55.337855954,0 days 00:02:03.419624818
3433938,0 days 00:18:33.956341960,4.630287911429968,19.68186881650163,0.48765607299840585,,2019,3,5,0 days 00:02:46.164066453,0 days 00:02:02.060365274
2982366,0 days 00:17:40.802031340,5.008520476695349,19.952914652326378,0.48074242396808436,,2019,3,6,0 days 00:02:55.350688051,0 days 00:01:59.844138886
2533424,0 days 00:19:24.790989190,4.869734221748908,21.688832899664636,0.594791112739123,,2019,4,0,0 days 00:03:11.950470722,0 days 00:01:58.447866153
2583132,0 days 00:19:45.359471757,4.66982214536462,21.812570619697322,0.6175206764501389,,2019,4,1,0 days 00:02:53.955587520,0 days 00:02:00.167347616
3319071,0 days 00:20:28.757334205,4.74576236422782,22.217022793426256,0.6390722464207605,,2019,4,2,0 days 00:02:54.261748393,0 days 00:02:00.861812322
3561020,0 days 00:21:01.226970081,4.751750771127375,23.11241883224469,0.6572077719305142,,2019,4,3,0 days 00:02:59.384411847,0 days 00:02:02.502114627
3847550,0 days 00:20:53.126308689,4.73632730256917,22.309384603189034,0.6084481085366013,,2019,4,4,0 days 00:03:00.002315703,0 days 00:02:01.042793592
3326876,0 days 00:18:44.538713195,4.715156740738156,20.874807747568582,0.5405039111767315,,2019,4,5,0 days 00:02:49.360122691,0 days 00:01:57.342901233
3158169,0 days 00:17:42.473468962,4.750776796618548,20.88442462072169,0.533307688727234,,2019,4,6,0 days 00:03:17.100464330,0 days 00:01:57.085750901
2449914,0 days 00:19:37.025578040,4.819253194601933,22.44190306271976,0.6734900123024725,,2019,5,0,0 days 00:02:42.378443285,0 days 00:02:03.243024894
