trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,weekday
102165,0 days 00:14:32.837388904,3.2026172368227863,18.661799539959873,1.730157588215142,1.2284246072529732,2020,5,1
77923,0 days 00:14:20.017235183,3.219367324153331,18.48193293379362,1.7124109698035237,1.2062035599245409,2020,5,2
79667,0 days 00:14:26.170446985,3.290677068296785,18.654716758507288,1.749513725883992,1.220379831046732,2020,5,3
85122,0 days 00:14:41.355360541,3.3394550175042883,19.032098164986728,1.8058767416179131,1.2266159159794179,2020,5,4
58229,0 days 00:13:57.783227712,3.6022305037009046,18.976551718216015,1.8084291332497553,1.2605402806161878,2020,5,5
48828,0 days 00:14:22.006676633,3.91016281641681,19.9661028508233,1.9062982305234701,1.2364422052920456,2020,5,6
106208,0 days 00:14:24.873312242,3.0663374698704433,18.470989191021392,1.7789902832178364,1.2766646580295269,2020,6,0
115951,0 days 00:14:32.741983613,2.9436048848220366,18.232198169916607,1.7510964114151668,1.2783330889772404,2020,6,1
147489,0 days 00:14:59.646409514,3.010444575527666,18.553281329455082,1.7735740970513054,1.258276888445918,2020,6,2
149582,0 days 00:14:44.501607846,3.0389744755385006,18.56530578545547,1.786778623096362,1.2649182388255271,2020,6,3
136094,0 days 00:15:09.392275870,3.16623179567064,18.926417696592065,1.7877274530838978,1.2586521081017532,2020,6,4
79001,0 days 00:13:46.009101381,3.3915236515993463,18.762000734167927,1.7840776699029128,1.2850090505183478,2020,6,5
66087,0 days 00:14:28.104424537,3.7547968586862774,19.952215413016177,1.9233253136017674,1.2898300724802154,2020,6,6
168053,0 days 00:14:56.213407994,3.0331494230986658,18.31269129381802,1.8036850279376149,1.3025474106383106,2020,7,0
136843,0 days 00:14:39.610176923,2.9543386947085346,18.24842666413335,1.7958640924270877,1.303106479688402,2020,7,1
148976,0 days 00:15:28.651277059,2.9006869562882613,18.319626382773063,1.8199116636236707,1.2939332509934487,2020,7,2
149524,0 days 00:15:23.649366978,2.9154963751638534,18.35579632701105,1.8392051443246569,1.2882413525587866,2020,7,3
150827,0 days 00:15:34.007545468,2.9896197630397743,18.5317768038879,1.8381156556849902,1.2996545711311636,2020,7,4
142707,0 days 00:13:53.842262384,3.235353836882563,18.281837681403154,1.8340632905183352,1.3542993686364369,2020,7,5
110356,0 days 00:14:00.087306406,3.5557261046069093,19.3255376236906,1.9318916053499582,1.3239606364855558,2020,7,6
157425,0 days 00:14:54.205882352,3.0121654121010004,17.933628521518184,1.9263879307606797,1.3070732094648245,2020,8,0
238155,0 days 00:15:45.492231141,2.7353603325565277,17.612356826436564,1.9097437383216813,1.3042052444836345,2020,8,1
251557,0 days 00:15:26.712608392,2.6975572136732433,17.540953223325133,1.9214903580500642,1.2989382128106155,2020,8,2
200735,0 days 00:15:50.198120884,2.7180408498767026,17.66373562159066,1.938699379779311,1.297307395322191,2020,8,3
205560,0 days 00:15:52.979914644,2.7840331776610237,17.916040863981323,1.951662288382954,1.3152607511188947,2020,8,4
163350,0 days 00:14:37.644074246,2.906054361799816,17.239409611264158,1.89770039791858,1.4065442301805937,2020,8,5
124235,0 days 00:13:49.766808792,3.1912617217370314,18.01557194027448,1.9578901275807945,1.3813257133657988,2020,8,6
194957,0 days 00:14:49.480248495,2.804296075544863,17.478780243848647,1.92369378888678,1.3062367599009013,2020,9,0
225785,0 days 00:15:33.164900279,2.657804238545519,17.44656713244901,1.9548540868525368,1.3038554376951526,2020,9,1
238557,0 days 00:15:24.649129816,2.627862942609104,17.489725222902702,1.9840675394140599,1.3103451166807094,2020,9,2
310274,0 days 00:16:25.348623200,2.666450105390719,17.82716486073599,2.0237199378613746,1.3182703030224898,2020,9,3
303664,0 days 00:15:57.603861414,2.6726685086147848,17.633251653142946,1.988232322567048,1.3202421097001948,2020,9,4
260729,0 days 00:14:57.487358312,2.7360761173478974,17.02258225974096,1.9576684220013885,1.4226035462108166,2020,9,5
147166,0 days 00:14:13.226372772,3.126776837041164,17.82806653710776,2.007982958020195,1.3905385754861856,2020,9,6
257877,0 days 00:14:48.220535693,2.758134343117068,17.55313444006251,1.9591231090791346,1.2945551561403306,2020,10,0
227770,0 days 00:15:14.066423769,2.636356587785924,17.337796154015017,1.9679365588093254,1.2915923958379067,2020,10,1
221647,0 days 00:14:56.813384440,2.6118432011261152,17.196167690065735,1.9559094867063391,1.2923161603811466,2020,10,2
205757,0 days 00:14:56.652549275,2.6936015785611183,17.513214714444707,1.9880297632644335,1.2976277842309132,2020,10,3
220078,0 days 00:15:11.918751937,2.686791819264079,17.469268441189037,1.9749859595234418,1.320313706958442,2020,10,4
191745,0 days 00:14:54.587661182,2.769554251740593,17.14838525124515,2.0094815510182795,1.4049492815979556,2020,10,5
184126,0 days 00:15:07.306874700,3.094020181832006,17.731439720626096,2.0190096455687954,1.3805654823327504,2020,10,6
194656,0 days 00:15:17.371921575,2.760848419776426,17.574160519069544,1.9487632027782344,1.2926136363636365,2020,11,0
274477,0 days 00:15:28.997638465,2.6647138740222305,17.493907030461575,1.9637973673568276,1.3015407484051487,2020,11,1
268592,0 days 00:15:26.254697699,2.6277772234467145,17.37504713468756,1.9616378745457799,1.304547417644606,2020,11,2
231771,0 days 00:14:36.297140108,2.7013025356925584,17.229145622187417,1.9266375862381402,1.3147632792713497,2020,11,3
197014,0 days 00:15:34.732967139,2.6986482178931444,17.58305069690479,2.009255332108378,1.3125970743195916,2020,11,4
