trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,weekday
67819,0 days 00:22:44.397900200,3.3442019198159803,17.818913726241913,1.0160309057933619,1.2050900190212182,2019,5,2
71804,0 days 00:23:14.767123478,3.3432889532616565,17.8362594005905,1.0644386106623587,1.2193888919837335,2019,5,3
75176,0 days 00:23:17.683477451,3.293174018303714,17.622300069171015,1.018908162179419,1.2270804512078324,2019,5,4
89831,0 days 00:21:20.011677483,3.2990699201834555,16.908223775756703,1.072595540514967,1.2460731818637218,2019,5,5
75720,0 days 00:21:09.740161119,3.409510961436873,17.076939910195463,1.0519174590596934,1.2520470153195986,2019,5,6
73472,0 days 00:22:13.699904723,3.323729039634147,17.4611265516115,0.9233766604965157,1.1850773083623694,2019,6,0
75411,0 days 00:22:12.047566635,3.385884420044821,17.90079391600695,0.960310166951771,1.1751070798689847,2019,6,1
79742,0 days 00:22:37.881613764,3.3104473175992575,17.8914020215194,0.9744603847407889,1.1838554337739209,2019,6,2
59526,0 days 00:22:10.107620455,3.267460773443537,17.532595672479253,1.005718677552666,1.209723482175856,2019,6,3
65794,0 days 00:21:51.048941376,3.2514937532297776,17.265033437699486,0.9735033589689029,1.2148676171079429,2019,6,4
62829,0 days 00:20:48.719567708,3.3063349727036875,16.700297951582872,1.0658840662751277,1.239570898788776,2019,6,5
53969,0 days 00:20:32.744922917,3.398120587744817,17.032287609553634,1.0423265207804482,1.2421019474142563,2019,6,6
52973,0 days 00:20:50.960921276,3.529996790817964,18.456104996885205,0.9307777547052273,1.149189209597342,2019,7,0
56121,0 days 00:21:23.425389358,3.56432832629497,18.658979170007665,1.0008750735018976,1.136971900001782,2019,7,1
59294,0 days 00:20:50.071934558,3.4991233514352214,18.47601359328094,0.9772568893985901,1.1213276216817891,2019,7,2
77951,0 days 00:21:37.571553195,3.5013652166104348,18.552505035214434,1.0002753011507228,1.1423073469230671,2019,7,3
80193,0 days 00:21:36.283334164,3.402576409412293,18.08049168880077,0.9809242701981471,1.1553252777673861,2019,7,4
74254,0 days 00:21:37.228100420,3.4697050663937294,17.628175182481755,1.0167671775257898,1.1956796940232175,2019,7,5
48909,0 days 00:21:02.012840172,3.4447876668915742,17.62769551616267,1.014904209859126,1.195914862295283,2019,7,6
66455,0 days 00:21:16.973994311,3.501236174855165,18.44609073809345,0.9995842299300278,1.1249115943119403,2019,8,0
59198,0 days 00:22:46.023855784,3.571816953275448,18.938284739349307,0.986165073144363,1.102638602655495,2019,8,1
62964,0 days 00:22:26.195056865,3.5612281621243884,19.147532081824533,1.00512928022362,1.0994695381487833,2019,8,2
65767,0 days 00:22:42.573027556,3.523571091884988,19.043736372344796,1.0375460337251206,1.1122751531923305,2019,8,3
67186,0 days 00:23:10.884217421,3.374592325782157,18.52937888845891,1.0142098056142648,1.1352513916589766,2019,8,4
62487,0 days 00:21:31.142114107,3.4453396706514954,17.825828252276477,1.1094827724166627,1.211996095187799,2019,8,5
65006,0 days 00:21:39.611236750,3.670439190228594,18.62241423868566,1.109894625111528,1.1863674122388703,2019,8,6
55805,0 days 00:21:46.308620287,3.628249260818923,19.299656124003228,0.917432488128304,1.0191022309828868,2019,9,0
75991,0 days 00:21:53.905309862,3.579138845389586,19.205435380505588,0.9257104130752326,1.028779723914674,2019,9,1
78816,0 days 00:22:21.900765490,3.548455009135201,19.2296087088916,0.9450661033292734,1.0283191230207065,2019,9,2
82346,0 days 00:22:31.089485512,3.561104850265951,19.44045648847546,0.9798508731450223,1.0407791513856168,2019,9,3
69302,0 days 00:22:46.735320869,3.525903725722201,19.249089348070765,0.9791625061325792,1.0628264696545555,2019,9,4
63071,0 days 00:21:25.327434189,3.4216582898638044,18.04245786494586,1.0918011447416405,1.1493396331118897,2019,9,5
51055,0 days 00:20:41.030224677,3.5373941827441,18.33429634707668,1.0764616589952012,1.143374791891098,2019,9,6
56633,0 days 00:20:59.643793042,3.2016176081083465,19.049445552946167,0.9180235904861124,1.026698214821747,2019,10,0
60718,0 days 00:21:45.352197114,3.388562370302052,19.462458908396194,0.9434141440758919,1.008448894891136,2019,10,1
63448,0 days 00:21:57.149555541,3.3424434182322527,19.32364392888665,0.9560830916656159,1.022396293027361,2019,10,2
60880,0 days 00:22:09.928088042,3.2392324244415245,19.32508114323259,0.9785993758212879,1.037762812089356,2019,10,3
82255,0 days 00:21:45.664425531,3.114133244179685,18.5876780742812,0.952449455960124,1.058926509026807,2019,10,4
75436,0 days 00:20:58.930296683,3.1603876133411104,17.608657537515246,1.0511714565989714,1.1462961981017021,2019,10,5
50130,0 days 00:23:20.650876947,3.249189307799721,18.231601037303015,1.029079992020746,1.1127269100339119,2019,10,6
