trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,hour,customer_waiting_time,driver_waiting_time
306503,0 days 00:18:45.847166259,7.324448145695149,25.241022469600626,0.63686009598601,,2019,1,5,0 days 00:03:01.486614251,0 days 00:02:23.103743262
516278,0 days 00:19:19.402912771,6.07728109661849,22.62109384866293,0.5225712503728611,,2019,1,6,0 days 00:03:02.207501236,0 days 00:02:18.044472851
819263,0 days 00:19:33.411805488,4.760346689646671,20.286278106053853,0.46567389226658595,,2019,1,7,0 days 00:03:12.458148425,0 days 00:02:19.742904806
986824,0 days 00:19:29.840577448,4.2664108493510495,19.158499803409722,0.43870469303543486,,2019,1,8,0 days 00:03:05.684686529,0 days 00:02:17.341078420
894734,0 days 00:18:40.535308818,4.3186922146693885,18.807285919614106,0.473322361729855,,2019,1,9,0 days 00:02:30.046787873,0 days 00:02:21.587153849
795219,0 days 00:18:18.037824800,4.434300903273184,18.95399249766417,0.5124700617062721,,2019,1,10,0 days 00:02:19.533008733,0 days 00:02:23.059220699
794746,0 days 00:18:28.834666673,4.436904092628337,19.082860121346943,0.5207582674212893,,2019,1,11,0 days 00:02:21.720790625,0 days 00:02:21.062631143
829630,0 days 00:18:43.730043513,4.515578245723999,19.444820546508684,0.5328882272820414,,2019,1,12,0 days 00:02:34.291896114,0 days 00:02:18.607694238
854164,0 days 00:19:17.900023883,4.642480366767974,19.80034855133206,0.5321196397881437,,2019,1,13,0 days 00:02:39.665654555,0 days 00:02:17.620685902
904026,0 days 00:20:26.916719209,4.62248936424395,20.625751272640386,0.5429011886826264,,2019,1,14,0 days 00:02:45.989688707,0 days 00:02:18.632460861
933129,0 days 00:21:08.857398066,4.530314918944756,21.03058165591252,0.5507835143908291,,2019,1,15,0 days 00:02:45.202703338,0 days 00:02:18.161791126
989682,0 days 00:21:01.966260879,4.343709817901103,20.521442443128212,0.5317403873163298,,2019,1,16,0 days 00:02:39.624685784,0 days 00:02:17.667489106
1181954,0 days 00:20:21.649926308,4.031357480917192,19.31173087954354,0.4865068606730889,,2019,1,17,0 days 00:02:57.254487984,0 days 00:02:17.311429063
1313013,0 days 00:19:03.167311367,3.9515982019979985,18.53175903056558,0.468948570958551,,2019,1,18,0 days 00:03:02.234433026,0 days 00:02:17.356634573
1289804,0 days 00:17:57.351641024,4.1693769285875995,18.058062635873366,0.45015061978409127,,2019,1,19,0 days 00:02:38.524892486,0 days 00:02:17.971823538
1208847,0 days 00:17:44.804826417,4.647134732517841,19.149541753422888,0.4747222932265209,,2019,1,20,0 days 00:02:24.070943674,0 days 00:02:19.641765583
1172752,0 days 00:17:46.817308348,4.917283142556996,19.89353822462038,0.4983926695499133,,2019,1,21,0 days 00:02:40.951174649,0 days 00:02:17.285929716
1149196,0 days 00:17:54.967234483,5.012903299350154,20.108890563489606,0.4857431543444286,,2019,1,22,0 days 00:03:15.151784719,0 days 00:02:16.289718365
1000645,0 days 00:17:44.515707368,5.006716797665506,19.641829390043426,0.4549220652679021,,2019,1,23,0 days 00:03:05.919996386,0 days 00:02:15.673961620
892308,0 days 00:17:06.217822769,5.110654280808867,19.12788188607521,0.4360213961995186,,2019,2,0,0 days 00:03:05.896658325,0 days 00:02:09.978807731
617034,0 days 00:16:12.945307713,5.0873183973654585,18.379526881824994,0.39498685647792503,,2019,2,1,0 days 00:02:54.099141510,0 days 00:02:20.453129940
406795,0 days 00:15:52.698081343,5.1410656227338105,18.221368895881216,0.36419621676765934,,2019,2,2,0 days 00:02:37.975152849,0 days 00:02:12.863085269
349682,0 days 00:16:27.254070841,5.668280266070314,20.0561333440097,0.3908721352543168,,2019,2,3,0 days 00:03:00.391040258,0 days 00:02:15.818692435
323716,0 days 00:17:23.958367828,6.6498732839896695,23.2939739462986,0.5221548208923872,,2019,2,4,0 days 00:03:20.507196897,0 days 00:02:14.538888620
369245,0 days 00:18:35.892838088,7.160148681769557,24.308376660482875,0.6269838995788705,,2019,2,5,0 days 00:03:00.773164114,0 days 00:02:15.386557880
620141,0 days 00:19:40.971978953,6.085846944485207,22.31996125074781,0.5268313173939476,,2019,2,6,0 days 00:03:21.144571541,0 days 00:02:12.775894388
994993,0 days 00:19:42.246522337,4.689392317332885,19.557147758828457,0.44928863821152504,,2019,2,7,0 days 00:03:37.884185187,0 days 00:02:13.783232151
1185895,0 days 00:19:34.556137769,4.245837557287956,18.384123535388895,0.4305472828538782,,2019,2,8,0 days 00:03:13.109837401,0 days 00:02:11.545759998
1073741,0 days 00:18:50.425432203,4.3298468252586035,18.21341673643831,0.4742713280018179,,2019,2,9,0 days 00:02:30.867631459,0 days 00:02:15.082878557
965814,0 days 00:18:36.304172438,4.463698362210527,18.666499657283914,0.5243278933624902,,2019,2,10,0 days 00:02:19.581156510,0 days 00:02:17.353268529
972763,0 days 00:18:52.054469588,4.460248652549492,18.835144418527438,0.5344343072259122,,2019,2,11,0 days 00:02:26.704090728,0 days 00:02:15.054042273
993042,0 days 00:19:07.352645708,4.50258147188135,19.092187913502144,0.5382952684780703,,2019,2,12,0 days 00:02:38.287348475,0 days 00:02:13.558323991
1030421,0 days 00:19:41.517230335,4.620197511502582,19.48749848848189,0.5354686288419976,,2019,2,13,0 days 00:02:49.189986941,0 days 00:02:11.586760623
1099215,0 days 00:21:03.747412471,4.616557579727353,20.15263708191755,0.5404664237660511,,2019,2,14,0 days 00:02:55.048218019,0 days 00:02:12.636830982
1133332,0 days 00:22:07.431966096,4.552223479086443,20.54753858533952,0.549972585261865,,2019,2,15,0 days 00:02:55.267341343,0 days 00:02:12.827453368
