trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,hour
13322,0 days 00:21:23.031676925,2.8763301306110196,14.522333733673625,1.1279875394084973,1.3302807386278337,2019,1,0
9441,0 days 00:20:04.330473466,2.728415422095117,14.123876707975851,1.1109903611905518,1.3422306959008579,2019,1,1
6786,0 days 00:24:59.548857774,2.8996050692602418,14.713521956970233,1.1591290893015032,1.3768051871500147,2019,1,2
5777,0 days 00:20:24.494979224,3.276619352605158,16.02685649991345,1.1203617794703133,1.3577981651376148,2019,1,3
5644,0 days 00:23:52.712969525,4.342613394755492,19.41007264351524,0.9212048192771085,1.2639971651311126,2019,1,4
5760,0 days 00:32:37.372222222,6.812878472222223,27.439039930555555,0.7396736111111112,1.1119791666666667,2019,1,5
11308,0 days 00:30:18.456225680,7.19476211531659,28.877261230986907,0.5922674212946586,1.040944464096215,2019,1,6
22085,0 days 00:29:57.516323296,5.295034186099162,23.626111840615806,0.7112700928231832,1.1077654516640254,2019,1,7
32646,0 days 00:26:12.275439563,4.5995904551859335,21.34806500030632,0.8264810390246891,1.151657170863199,2019,1,8
36276,0 days 00:23:13.337358032,4.49144144889183,20.57950242584629,0.7227026132980483,1.1498511412504135,2019,1,9
35058,0 days 00:21:23.009527069,4.328473386958755,19.960762450795826,0.6544192481031433,1.167978778024987,2019,1,10
33699,0 days 00:22:25.401994242,4.268705599572687,19.848431110715453,0.6489308288079765,1.1765037538205882,2019,1,11
32740,0 days 00:23:55.853595210,4.297414477703116,19.819897373243744,0.6269722052535125,1.1705558949297497,2019,1,12
33335,0 days 00:23:26.540589188,4.153018749062547,19.371716814159292,0.6269839508024598,1.1901904904754763,2019,1,13
35416,0 days 00:24:21.651880505,4.059010334312175,19.401943189518864,0.6741373955274451,1.2007002484752654,2019,1,14
36774,0 days 00:24:55.739265221,3.924339478979714,19.29496111383042,0.7155604503181596,1.214037091423288,2019,1,15
41636,0 days 00:26:15.962052070,4.054981026035162,20.427087376308968,0.7795318954750695,1.2056153328850034,2019,1,16
40737,0 days 00:24:25.109703709,3.6358158430910468,19.055745145690654,0.9004425951837396,1.22461153251344,2019,1,17
41674,0 days 00:21:49.077482363,3.1236140039353075,16.874252051638916,0.9891395114459856,1.2863895954312041,2019,1,18
36560,0 days 00:19:41.021991247,3.026969365426696,15.983459245076586,1.0365057439824945,1.29972647702407,2019,1,19
31551,0 days 00:20:16.482456974,3.0597610218376596,15.542783113055057,1.039015245158632,1.293334601121993,2019,1,20
26283,0 days 00:17:53.433778487,3.031772248221284,15.280534566069324,1.0524186736673895,1.294715215158087,2019,1,21
22638,0 days 00:19:57.180934711,3.0986209029066174,15.538490591041613,1.1218597049209293,1.2924286597755985,2019,1,22
18448,0 days 00:18:51.488183,3.019121313963573,15.162136274934953,1.1369563096270598,1.3055073720728534,2019,1,23
14888,0 days 00:20:30.076235894,2.818868216012896,14.443222058033317,1.0969176518001074,1.2780091348737237,2019,2,0
10743,0 days 00:19:40.062645443,2.7307176766266403,13.95540165689286,1.0732328027552824,1.3109001210090292,2019,2,1
7090,0 days 00:24:33.992806770,2.9396671368124117,14.73046262341326,1.1340141043723555,1.3026798307475318,2019,2,2
6389,0 days 00:22:09.297542651,3.3705243387071526,16.296260760682426,1.1185803725152608,1.296447018312725,2019,2,3
6201,0 days 00:25:53.901790033,4.259733913884857,19.233980003225287,0.9186147395581358,1.226737622964038,2019,2,4
6085,0 days 00:36:59.979622021,6.602494658997535,26.65714543960559,0.7741281840591618,1.0821692686935087,2019,2,5
