trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,hour
205726,0 days 00:15:06.377427839,3.313350378658993,20.370845201870445,2.567281967276863,1.4054810767720172,2022,6,19
171578,0 days 00:15:30.244761277,3.6009266922332688,20.994141323479703,2.684754921959692,1.410944293557449,2022,6,20
168955,0 days 00:15:44.356164464,3.7033950460181706,21.287164156136253,2.746459826581042,1.4259359000917404,2022,6,21
154996,0 days 00:16:10.521303161,3.9413176469070166,22.133133371183774,2.8583942811427394,1.4189527471676688,2022,6,22
128953,0 days 00:16:22.372143887,4.2283632796445225,22.9448222220499,2.9029039262366907,1.4151977852395834,2022,6,23
88399,0 days 00:16:09.036999321,4.420972296066698,23.391939049084264,2.9166962295953573,1.4006493286123147,2022,7,0
57478,0 days 00:14:59.365001479,3.9758117888583455,21.56544069035109,2.643781794773653,1.409408817286614,2022,7,1
38188,0 days 00:14:42.413356029,3.6351484759610355,20.417744317586678,2.477467005341992,1.385068607939667,2022,7,2
24751,0 days 00:14:36.894205124,3.826350854510929,21.26335259181447,2.4763609551129244,1.3826512060118783,2022,7,3
17128,0 days 00:17:30.564351229,5.056480032695003,26.817960065390007,3.0408804297057452,1.2708430639887902,2022,7,4
20444,0 days 00:22:14.284973078,6.0485335550772845,29.747724515750342,3.380358051261984,1.2293582469184112,2022,7,5
51304,0 days 00:15:27.215533715,4.772274481521909,23.993243216903167,2.782980079525963,1.2316778418836738,2022,7,6
86706,0 days 00:15:15.346154733,4.015327428320993,21.84094007335133,2.6734415150047286,1.255910778954167,2022,7,7
122066,0 days 00:16:01.212476336,3.5633205806694743,21.0740414202153,2.6304389428669737,1.266847443186473,2022,7,8
137076,0 days 00:16:17.968150867,3.326956432927719,20.62905220461642,2.5586398786074875,1.3122939099477662,2022,7,9
149923,0 days 00:16:37.677145125,3.2873116866658214,20.393948827064563,2.4550707363113067,1.355209007290409,2022,7,10
162064,0 days 00:17:13.426770108,3.29009249432323,20.67972480007898,2.506248025471419,1.3790909764043835,2022,7,11
176854,0 days 00:17:44.689200348,3.4239105137571104,21.139542390898708,2.551469913035611,1.3798048107478484,2022,7,12
180931,0 days 00:18:13.326291637,3.502407437089277,21.424352985392225,2.5848756155661547,1.3892865235918666,2022,7,13
191921,0 days 00:18:42.419606084,3.6665999030851237,22.083322460804187,2.658779758338066,1.399997915809109,2022,7,14
194604,0 days 00:19:39.573922250,3.8593047419374726,22.51818570019116,2.7191960596904488,1.4036145197426568,2022,7,15
194990,0 days 00:19:22.873960444,3.7226661880096406,23.436511821119034,2.8305460280014363,1.4058105543874044,2022,7,16
211726,0 days 00:17:49.740257960,3.441410029944362,22.115315124264384,2.7289210583489982,1.3898954308870899,2022,7,17
225800,0 days 00:16:00.942325923,3.2442478299379984,20.886582949512842,2.6168949069973433,1.386585473870682,2022,7,18
200472,0 days 00:15:12.561016737,3.326853226385729,20.418476395706136,2.5605388283650585,1.399063210822459,2022,7,19
174343,0 days 00:15:31.750040154,3.543435182370386,20.794922537756037,2.6288561054931945,1.413145351404989,2022,7,20
166122,0 days 00:15:21.587472157,3.7115804649594883,21.24240642419427,2.712909969781245,1.4329227916832208,2022,7,21
154164,0 days 00:16:18.031526914,3.910914480682908,21.978892867336086,2.816755662800654,1.4307490724163878,2022,7,22
